,Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
1290,284010,Izu-Oshima,18243,Confirmed Eruption,Mihara-yama,2.0,,,1987.0,,11.0,,16.0,,Historical Observations,,1988.0,,1.0,,27.0,,34.724,139.394
1291,311230,Carlisle,19800,Uncertain Eruption,,,,,1987.0,,11.0,,16.0,,,,,,,,,,52.894,-170.054
1292,284070,Myojinsho,18330,Uncertain Eruption,Myojinsho,0.0,,,1987.0,,10.0,,21.0,,,,1987.0,,12.0,,9.0,,31.888,139.918
1293,290380,Ebeko,18874,Confirmed Eruption,Northern crater,1.0,,,1987.0,,10.0,,14.0,,Historical Observations,,1988.0,,1.0,,16.0,15.0,50.686,156.014
1294,264220,Iliboleng,16325,Confirmed Eruption,,2.0,,,1987.0,,10.0,,2.0,,Historical Observations,,1987.0,,10.0,,2.0,,-8.342,123.258
1295,284130,Fukutoku-Oka-no-Ba,17603,Uncertain Eruption,,0.0,,,1987.0,,9.0,,4.0,,,,1991.0,,2.0,,6.0,,24.285,141.481
1296,284170,Pagan,18516,Confirmed Eruption,North Pagan,1.0,,,1987.0,,9.0,,4.0,,Historical Observations,,1987.0,,9.0,,4.0,,18.13,145.8
1297,311190,Amukta,19788,Confirmed Eruption,,1.0,,,1987.0,,9.0,?,4.0,,Historical Observations,,,,,,,,52.5,-171.252
1298,311070,Gareloi,19687,Confirmed Eruption,,1.0,?,,1987.0,,9.0,,4.0,,Historical Observations,,,,,,,,51.79,-178.794
1299,241100,Ruapehu,14655,Confirmed Eruption,,1.0,,,1987.0,,8.0,,24.0,,Historical Observations,,1987.0,,8.0,,30.0,,-39.28,175.57
1300,284110,Kita-Ioto,18384,Uncertain Eruption,Funka-Asane,0.0,,,1987.0,,8.0,,16.0,15.0,,,1987.0,,8.0,,16.0,15.0,25.424,141.284
1301,354006,Sabancaya,11748,Uncertain Eruption,,2.0,?,,1987.0,,8.0,,7.0,,,,,,,,,,-15.787,-71.857
1302,390030,Deception Island,13197,Uncertain Eruption,,,,,1987.0,,7.0,,23.0,,,,,,,,,,-63.001,-60.652
1303,284130,Fukutoku-Oka-no-Ba,17602,Confirmed Eruption,,0.0,,,1987.0,,7.0,,14.0,,Historical Observations,,1987.0,,8.0,?,30.0,,24.285,141.481
1304,341040,Colima,10471,Confirmed Eruption,East side of summit lava dome,1.0,,,1987.0,,7.0,,2.0,,Historical Observations,,1987.0,,7.0,,2.0,,19.514,-103.62
1305,311240,Cleveland,19811,Confirmed Eruption,,3.0,,,1987.0,,6.0,,19.0,,Historical Observations,,1987.0,,8.0,,28.0,,52.825,-169.944
1306,345040,Poas,11183,Confirmed Eruption,,2.0,,,1987.0,,6.0,,16.0,15.0,Historical Observations,,1990.0,,6.0,,16.0,15.0,10.2,-84.233
1307,333060,Macdonald,10323,Confirmed Eruption,,0.0,,,1987.0,,6.0,,4.0,,Historical Observations,,1989.0,,1.0,>,28.0,,-28.98,-140.25
1308,284210,Esmeralda Bank,18545,Uncertain Eruption,,0.0,,,1987.0,,5.0,,26.0,,,,,,,,,,15.0,145.25
1309,263340,Raung,16148,Confirmed Eruption,,1.0,,,1987.0,,5.0,,16.0,15.0,Historical Observations,,1989.0,,7.0,,28.0,3.0,-8.119,114.056
1310,283090,Niigata-Yakeyama,17548,Confirmed Eruption,,1.0,,,1987.0,,4.0,,25.0,5.0,Historical Observations,,,,,,,,36.921,138.036
1311,311020,Kiska,19666,Uncertain Eruption,,,,,1987.0,,4.0,,15.0,,,,,,,,,,52.103,177.602
1312,311060,Semisopochnoi,19673,Confirmed Eruption,Sugarloaf ?,2.0,?,,1987.0,,4.0,,13.0,,Historical Observations,,,,,,,,51.93,179.58
1313,268040,Gamkonora,16594,Confirmed Eruption,,1.0,,,1987.0,,4.0,,13.0,,Historical Observations,,1987.0,,4.0,,26.0,,1.38,127.53
1314,345020,Rincon de la Vieja,11103,Confirmed Eruption,,1.0,,,1987.0,,4.0,,1.0,,Historical Observations,,1987.0,,4.0,,1.0,,10.83,-85.324
1315,272020,Kanlaon,16739,Confirmed Eruption,,1.0,,,1987.0,,3.0,?,30.0,,Historical Observations,,1987.0,,7.0,,2.0,,10.412,123.132
1316,242030,Raoul Island,14701,Uncertain Eruption,NNE flank (7 km from Raoul Island),0.0,,,1987.0,,3.0,,25.0,,,,1987.0,,3.0,,25.0,,-29.27,-177.92
1317,312070,Veniaminof,20169,Confirmed Eruption,Western intracaldera cone,1.0,,,1987.0,,3.0,,19.0,,Historical Observations,,1987.0,,3.0,,19.0,,56.17,-159.38
1318,313020,Iliamna,20289,Discredited Eruption,,,,,1987.0,,3.0,,19.0,,,,1987.0,,5.0,,2.0,,60.032,-153.09
1319,311120,Great Sitkin,19740,Uncertain Eruption,,,,,1987.0,,3.0,,18.0,,,,,,,,,,52.076,-176.13
1320,312060,Kupreanof,20155,Confirmed Eruption,SSW flank (1575 m),1.0,,,1987.0,,3.0,,10.0,,Historical Observations,,1987.0,,3.0,,10.0,,56.011,-159.797
1321,211060,Etna,13818,Confirmed Eruption,NE and SE Craters,2.0,,,1987.0,,3.0,,8.0,8.0,Historical Observations,,1987.0,,5.0,,16.0,,37.748,14.999
1322,311161,Korovin,19762,Confirmed Eruption,,2.0,,,1987.0,,3.0,?,4.0,,Historical Observations,,1987.0,,3.0,?,19.0,,52.381,-174.166
1323,311310,Makushin,19990,Confirmed Eruption,,1.0,,,1987.0,,3.0,,2.0,,Historical Observations,,1987.0,,3.0,,2.0,,53.891,-166.923
1324,344100,Masaya,11030,Confirmed Eruption,Santiago,1.0,,,1987.0,,2.0,,15.0,,Historical Observations,,1987.0,,2.0,>,22.0,,11.985,-86.165
1325,311320,Akutan,20031,Confirmed Eruption,,2.0,,,1987.0,,1.0,,31.0,,Historical Observations,,1987.0,,6.0,,24.0,,54.134,-165.986
1326,261140,Marapi,15475,Confirmed Eruption,Verbeek Crater,2.0,,,1987.0,,1.0,,15.0,,Historical Observations,,1994.0,,8.0,>,12.0,,-0.38,100.474
1327,342090,Fuego,10731,Confirmed Eruption,,1.0,,,1987.0,,1.0,,5.0,4.0,Historical Observations,,1987.0,,2.0,?,16.0,15.0,14.473,-90.88
1328,345020,Rincon de la Vieja,11102,Confirmed Eruption,,1.0,,,1986.0,,12.0,,31.0,,Historical Observations,,1986.0,,12.0,,31.0,,10.83,-85.324
1329,354006,Sabancaya,11747,Confirmed Eruption,,1.0,,,1986.0,,12.0,,16.0,15.0,Historical Observations,,,,,,,,-15.787,-71.857
1330,300250,Bezymianny,19364,Confirmed Eruption,,3.0,,,1986.0,,12.0,,5.0,4.0,Historical Observations,,1988.0,,7.0,,26.0,5.0,55.972,160.595
1331,373030,Bardarbunga,12887,Uncertain Eruption,Loki-Fögrufjöll (East Loki cauldron),0.0,,,1986.0,,11.0,,29.0,,,,1986.0,,12.0,?,1.0,,64.633,-17.516
1332,300260,Klyuchevskoy,19468,Confirmed Eruption,"Summit, SE, SW, NE and east flanks",4.0,,,1986.0,,11.0,,27.0,,Historical Observations,,1990.0,,9.0,,16.0,15.0,56.056,160.642
1333,311290,Okmok,19850,Confirmed Eruption,SW part of caldera (Cone A),2.0,,,1986.0,,11.0,,18.0,,Historical Observations,,1988.0,,2.0,,26.0,,53.43,-168.13
1334,290360,Chikurachki,18854,Confirmed Eruption,,4.0,,,1986.0,,11.0,,18.0,,Historical Observations,,1986.0,,12.0,,7.0,,50.324,155.461
1335,284010,Izu-Oshima,18242,Confirmed Eruption,"Mihara-yama, N part and NW of caldera",3.0,,,1986.0,,11.0,,15.0,,Historical Observations,,1986.0,,12.0,,18.0,,34.724,139.394
